text,emotion
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i feel shafted or greedy,anger
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,fear
i feel rebellious because i don t particularly like watching romcoms but i get the feeling that i may be pretty good at writing them,anger
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,fear
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear
i wake up in the morning and have my voice and my throat feels ok but by the afternoon its all scratchy again and i sound like marge simpson until the night when its so bad and my throat is so sore i just have to whisper,joy
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,joy
i feel a bit pissed off because we went first,anger
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy
i really like how the special edition really does feel special with songs on it,joy
i would accept your gift without feeling mad,anger
i feel hesitant to do it since i don t have any experience with programming and all,fear
i was feeling particularly bitchy and i dont think i adequately expressed my appreciation for that,anger
i do feel confused,fear
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,anger
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger
i feel so tortured,anger
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy
i feel like she has taken on the role of a grandmother to me since my beloved grandma is no longer with me,joy
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear
i would have smiled except i was starting to feel like any more uptight comments and my jaw would fall right out of my head,fear
i feel so comfortable around him,joy
i feel completely unsure of any boundaries or normalcy,fear
i think of or feel gratitude i think of my kind and gracious heavenly father,joy
im feeling really really left out and somewhat dissatisfied with everything,anger
i simply said how sorry i am and just got out from her car and got into my house feeling restless,fear
i am feeling weird and feel wanna know,fear
i had an incredible feeling of frantic despair,fear
i feel reluctant to sell but hey,fear
i take a long sip and feel the cold sensation of the iced capp,anger
i wasn t feeling pressured even if this was the longest race and the one i expected the most from,fear
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,anger
i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended,anger
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,joy
the possibility of having failed the examination,fear
i feel so thankful to be in a part of the country where i can train outdoors this late in the year and not have to bundle up or wear several layers,joy
i am feeling rather grouchy too this morning since i didnt sleep last night on purpose,anger
i feel like the earthquake has also shaken the foundations of my life and work,fear
i might be able to recreate the feeling when i get back into the cold fog that awaits me tomorrow night,anger
i woke up feeling positive i was totally in the mood for doing this and this evening i feel the same i had a banana shake for breakfast a chocolate shake for dinner and a sunday roast for tea,joy
